Strain,Stress
9.68E-05,3.45E-01
8.71E-04,6.70E-01
1.82E-03,2.32E+00
3.94E-03,7.93E+00
4.33E-03,8.22E+00
4.72E-03,7.90E+00
5.63E-03,5.47E+00
6.05E-03,4.88E+00
7.59E-03,3.80E+00
8.13E-03,3.69E+00
9.06E-03,3.88E+00
1.05E-02,3.71E+00
1.13E-02,3.10E+00
1.23E-02,1.91E+00
1.45E-02,1.02E+00
1.61E-02,1.33E+00
1.66E-02,1.39E+00
1.76E-02,1.65E+00
1.85E-02,1.13E+00
1.89E-02,9.98E-01
1.97E-02,1.18E+00
2.22E-02,1.55E+00
2.31E-02,1.47E+00
2.53E-02,1.02E+00
2.71E-02,1.06E+00
2.83E-02,1.23E+00
2.87E-02,1.22E+00
2.99E-02,1.04E+00